datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21
26.09.2021;Wahl zum Deutschen Bundestag;03159016;364;364 BW-Grone 4;1;1;0;0;0;0;199;199;1;198;0;199;42;29;60;67;13;17;0;13;47;38;25;21;0;3;0;1;0;3;0;1;0;0;0;2;0;0;0;0;1;0;8;1;0;2;2;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;365;365 BW-Grone 5;1;1;0;0;0;0;323;323;2;321;1;322;77;57;124;126;25;28;0;15;78;66;9;15;0;2;0;4;0;0;0;0;0;1;0;0;0;3;2;0;0;0;5;4;0;0;1;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;366;366 BW-Elliehausen/ Esebeck;1;1;0;0;0;0;859;859;7;852;0;859;250;182;280;331;72;83;0;30;186;149;36;38;0;10;0;10;0;8;0;6;0;0;0;0;0;0;7;2;0;0;20;6;0;1;1;0;0;0;0;0;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;367;367 BW-Gr.Ellershausen/ Hetjershausen/ Knutbühren;1;1;0;0;0;0;636;636;7;629;6;630;234;167;173;197;46;71;0;22;140;124;17;18;0;8;0;5;0;3;0;0;0;0;0;0;0;0;1;0;0;0;14;12;0;0;4;0;0;0;0;2;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;368;368 BW-Egelsberg;1;1;0;0;0;0;415;415;4;411;0;415;67;57;96;101;37;30;0;17;161;147;45;35;0;9;0;10;0;1;0;0;0;0;0;1;0;0;0;0;0;0;4;1;0;1;1;1;0;0;0;2;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;369;369 BW-Hagenberg (1);1;1;0;0;0;0;345;345;5;340;1;344;47;41;109;112;26;24;0;12;128;99;25;39;0;5;0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;2;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;370;370 BW-Hagenberg (2);1;1;0;0;0;0;288;288;1;287;0;288;54;40;100;111;18;15;0;5;92;76;21;19;0;6;0;5;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;4;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;461;461 BW-Weende 1;1;1;0;0;0;0;364;364;0;364;1;363;96;70;97;123;27;33;0;9;119;100;16;17;0;2;0;1;0;3;0;2;0;0;0;0;0;0;1;0;0;0;6;1;0;0;2;0;0;0;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;462;462 BW-Weende 2;1;1;0;0;0;0;550;550;8;542;2;548;144;104;170;184;22;36;0;23;170;159;29;27;0;3;0;3;0;1;0;1;0;0;0;0;0;2;0;0;0;0;5;2;0;0;2;0;0;0;0;1;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;463;463 BW-Weende 3;1;1;0;0;0;0;388;388;0;388;2;386;50;37;95;100;35;38;0;9;176;146;27;30;0;6;0;3;0;1;0;1;0;0;0;3;0;2;0;0;0;0;4;4;0;0;1;0;0;1;0;1;0;4
